name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Coyote Dry Lake 120,30470,Valid,H5,18.5,Found,1999,35.05893,-116.76872,"(35.058930, -116.768720)"
Coyote Dry Lake 121,30471,Valid,H4,14.2,Found,1999,35.05947,-116.7685,"(35.059470, -116.768500)"
Coyote Dry Lake 129,30472,Valid,H5,140,Found,2000,35.06917,-116.7502,"(35.069170, -116.750200)"
Coyote Dry Lake 130,30473,Valid,H4,6.1,Found,2000,35.06785,-116.7494,"(35.067850, -116.749400)"
Coyote Dry Lake 132,30474,Valid,H4,17.4,Found,2000,35.07028,-116.74847,"(35.070280, -116.748470)"
Coyote Dry Lake 134,30475,Valid,H5,117.5,Found,2000,35.0925,-116.76083,"(35.092500, -116.760830)"
Coyote Dry Lake 138,30476,Valid,H5,18.3,Found,2000,35.05283,-116.76645,"(35.052830, -116.766450)"
Coyote Dry Lake 139,30477,Valid,H4,10.4,Found,2000,35.05283,-116.76538,"(35.052830, -116.765380)"
Coyote Dry Lake 142,30478,Valid,H4,32.22,Found,2000,35.06725,-116.74853,"(35.067250, -116.748530)"
Coyote Dry Lake 151,30479,Valid,H6,90.04,Found,2001,35.05602,-116.72368,"(35.056020, -116.723680)"
Coyote Dry Lake 152,30480,Valid,H5,10.84,Found,2001,35.05607,-116.72365,"(35.056070, -116.723650)"
Coyote Dry Lake 153,30481,Valid,H5,13.87,Found,2001,35.07362,-116.76372,"(35.073620, -116.763720)"
Coyote Dry Lake 155,30482,Valid,H4,17.02,Found,2001,35.06847,-116.76905,"(35.068470, -116.769050)"
Coyote Dry Lake 159,30483,Valid,H5,17.7,Found,2001,35.05865,-116.76872,"(35.058650, -116.768720)"
Coyote Dry Lake 160,30484,Valid,H5,76.88,Found,2002,35.06152,-116.76295,"(35.061520, -116.762950)"
Coyote Dry Lake 162,30485,Valid,H5,9.87,Found,2002,35.07802,-116.76777,"(35.078020, -116.767770)"
Coyote Dry Lake 163,30486,Valid,H5,16.66,Found,2002,35.07,-116.77,"(35.070000, -116.770000)"
Coyote Dry Lake 164,30487,Valid,H5,43,Found,2002,35.05835,-116.77403,"(35.058350, -116.774030)"
Coyote Dry Lake 165,30488,Valid,L6,42.57,Found,2002,35.06888,-116.76197,"(35.068880, -116.761970)"
Coyote Dry Lake 175,30489,Valid,H6,36.35,Found,2002,35.05475,-116.75432,"(35.054750, -116.754320)"
Coyote Dry Lake 176,30490,Valid,H6,187.55,Found,2003,35.05452,-116.73005,"(35.054520, -116.730050)"
Coyote Dry Lake 194,30491,Valid,L6,1.47,Found,2004,35.08838,-116.75283,"(35.088380, -116.752830)"
Coyote Dry Lake 221,30492,Valid,H4,54.31,Found,2003,35.05717,-116.7205,"(35.057170, -116.720500)"
Coyote Dry Lake 222,30493,Valid,L5,22.5,Found,2004,35.04008,-116.75553,"(35.040080, -116.755530)"
Coyote Dry Lake 223,30494,Valid,L6,512,Found,2004,35.03842,-116.75818,"(35.038420, -116.758180)"
Coyote Dry Lake 230,30495,Valid,H6,16.36,Found,2004,35.08958,-116.75007,"(35.089580, -116.750070)"
Coyote Dry Lake 235,30496,Valid,LL6,81.4,Found,2004,35.05628,-116.73377,"(35.056280, -116.733770)"
Coyote Dry Lake 249,30497,Valid,H4,71.8,Found,2004,35.08758,-116.74603,"(35.087580, -116.746030)"
Coyote Dry Lake 274,45960,Valid,H4,7.5,Found,2006,35.05902,-116.76892,"(35.059020, -116.768920)"
Coyote Dry Lake 275,45961,Valid,H4,16.2,Found,2006,35.05122,-116.76742,"(35.051220, -116.767420)"
Coyote Dry Lake 276,45962,Valid,H6,47.2,Found,2006,35.07118,-116.77162,"(35.071180, -116.771620)"
Coyote Dry Lake 277,45963,Valid,H5,21.3,Found,2006,35.0742,-116.7637,"(35.074200, -116.763700)"
Coyote Dry Lake 318,52804,Valid,H5,7.2,Found,2009,35.0751,-116.75038,"(35.075100, -116.750380)"
Coyote Mountains,5459,Valid,H5,23.04,Found,1998,31.91667,-111.5,"(31.916670, -111.500000)"
Coyote Spring,44708,Valid,H5,240,Found,2005,36.99367,-114.99367,"(36.993670, -114.993670)"
Crab Orchard,5461,Valid,Mesosiderite-A1,48500,Found,1887,35.83333,-84.91667,"(35.833330, -84.916670)"
Cranberry Plains,5462,Valid,"Iron, IVA",90,Found,1852,37.23333,-80.73333,"(37.233330, -80.733330)"
Cranfills Gap,5464,Valid,H6,6000,Found,1940,31.75,-97.75,"(31.750000, -97.750000)"
Cricket Mountains,5472,Valid,H6,10.6,Found,1985,38.90306,-112.82111,"(38.903060, -112.821110)"
Crosbyton,5475,Valid,H,,Found,1963,33.66667,-101.26667,"(33.666670, -101.266670)"
Crow Peak,44709,Valid,"Iron, IIAB",6320,Found,1958,44.47733,-103.972,"(44.477330, -103.972000)"
Cruz del Aire,5478,Valid,"Iron, ungrouped",23000,Found,1911,26.5,-100,"(26.500000, -100.000000)"
Cuddeback Dry Lake 001,5480,Valid,L6,32.5,Found,1999,35.29575,-117.4668,"(35.295750, -117.466800)"
Cuddeback Dry Lake 002,5481,Valid,L6,95,Found,2000,35.2755,-117.47833,"(35.275500, -117.478330)"
Cuddeback Dry Lake 003,5482,Valid,L6,7.5,Found,2000,35.29183,-117.47067,"(35.291830, -117.470670)"
Cuddeback Dry Lake 004,5483,Valid,H6,40,Found,2000,35.30233,-117.46017,"(35.302330, -117.460170)"
Cuddeback Dry Lake 005,5484,Valid,H5,35,Found,2000,35.31232,-117.45315,"(35.312320, -117.453150)"
Cuddeback Dry Lake 006,5485,Valid,H6,0.5,Found,2000,35.31227,-117.453,"(35.312270, -117.453000)"
Cuddeback Dry Lake 007,5486,Valid,L4,96.7,Found,2000,35.3114,-117.45342,"(35.311400, -117.453420)"
Cuddeback Dry Lake 008,5487,Valid,L6,18.02,Found,2000,35.28333,-117.48333,"(35.283330, -117.483330)"
Cuddeback Dry Lake 009,5488,Valid,H5,19,Found,2000,35.31833,-117.46667,"(35.318330, -117.466670)"
Cuddeback Dry Lake 010,5489,Valid,L5,10.5,Found,2000,35.3112,-117.45465,"(35.311200, -117.454650)"
Cuddeback Dry Lake 011,5490,Valid,L6,10.69,Found,2000,35.2758,-117.47877,"(35.275800, -117.478770)"
Cuddeback Dry Lake 012,5491,Valid,H5,0.72,Found,2002,35.31217,-117.453,"(35.312170, -117.453000)"
Cuddeback Dry Lake 013,52974,Valid,H4,1.6,Found,2008,35.31218,-117.45303,"(35.312180, -117.453030)"
Cuddeback Dry Lake 017,52978,Valid,H6,23.1,Found,2008,35.28528,-117.48305,"(35.285280, -117.483050)"
Cuddeback Dry Lake 018,52979,Valid,H4,8.5,Found,2008,35.28638,-117.48305,"(35.286380, -117.483050)"
Cuddeback Dry Lake 019,52980,Valid,L6,10.1,Found,2008,35.30455,-117.45817,"(35.304550, -117.458170)"
Cuddeback Dry Lake 021,51573,Valid,L6,31.72,Found,2004,35.3,-117.4605,"(35.300000, -117.460500)"
Cuddeback Dry Lake 023,52856,Valid,H5,123,Found,1986,35.3248,-117.47983,"(35.324800, -117.479830)"
Cuddeback Dry Lake 028,52967,Valid,L5,19.5,Found,2008,35.296,-117.472,"(35.296000, -117.472000)"
Cuddeback Dry Lake 029,52968,Valid,H4,22.2,Found,2008,35.296,-117.472,"(35.296000, -117.472000)"
Cuero,5493,Valid,H5,46500,Found,1936,29.01667,-97.28333,"(29.016670, -97.283330)"
Culbertson,5494,Valid,H4,5900,Found,1913,40.23333,-100.83333,"(40.233330, -100.833330)"
Cullison,5495,Valid,H4,10000,Found,1911,37.61667,-98.91667,"(37.616670, -98.916670)"
Cumpas,5497,Valid,"Iron, IIIAB",28600,Found,1903,30,-109.66667,"(30.000000, -109.666670)"
Cushing,5499,Valid,H4,567,Found,1932,35.96667,-96.76667,"(35.966670, -96.766670)"
Dale Dry Lake,5505,Valid,L3.7,300,Found,1957,34.08333,-115.78333,"(34.083330, -115.783330)"
Dalhart,5508,Valid,H5,4400,Found,1968,36.04333,-102.40833,"(36.043330, -102.408330)"
Dalton,5509,Valid,"Iron, IIIAB",53000,Found,1879,34.8,-84.98333,"(34.800000, -84.983330)"
Danby Dry Lake,5510,Valid,H6,8991,Found,2000,34.216667,-115.05,"(34.216667, -115.050000)"
Davis Mountains,6615,Valid,"Iron, IIIAB",689000,Found,1903,30.75,-104.25,"(30.750000, -104.250000)"
Davy (a),6616,Valid,L4,50600,Found,1940,29.1,-97.6,"(29.100000, -97.600000)"
Davy (b),6617,Valid,H4,3770,Found,1981,29.00833,-97.70556,"(29.008330, -97.705560)"
Dawn (a),6618,Valid,H6,7682,Found,1981,34.86,-102.12,"(34.860000, -102.120000)"
Dawn (b),6619,Valid,H4/5,257.6,Found,1981,34.86,-102.12,"(34.860000, -102.120000)"
Dayton,6620,Valid,"Iron, IAB-sLH",26300,Found,1892,39.75,-84.16667,"(39.750000, -84.166670)"
De Kalb,6623,Valid,H,566,Found,1969,39.59167,-94.92194,"(39.591670, -94.921940)"
De Nova,6624,Valid,L6,12700,Found,1940,39.85,-102.95,"(39.850000, -102.950000)"
Deep Springs,6637,Valid,"Iron, ungrouped",11500,Found,1846,36.5,-79.75,"(36.500000, -79.750000)"
Del Rio,6639,Valid,"Iron, IIF",3596,Found,1965,29.36667,-100.96667,"(29.366670, -100.966670)"
Delaware,6640,Valid,L4,8346,Found,1972,35.28333,-93.5,"(35.283330, -93.500000)"
Delphos (a),6645,Valid,L4,1244.7,Found,1968,34.08333,-103.525,"(34.083330, -103.525000)"
Delphos (b),6646,Valid,OC,548,Found,1968,34.09,-103.61167,"(34.090000, -103.611670)"
Delphos (c),6647,Valid,L5,885,Found,1977,34.05,-103.63333,"(34.050000, -103.633330)"
Delphos (d),6648,Valid,H5,276,Found,1969,34.05,-103.55,"(34.050000, -103.550000)"
Deming,55792,Valid,H5,784,Found,2009,32.22548,-107.90459,"(32.225480, -107.904590)"
Densmore (1879),6656,Valid,L6,37200,Found,1879,39.65,-99.68333,"(39.650000, -99.683330)"
Densmore (1950),6657,Valid,H6,11300,Found,1950,39.56583,-99.64722,"(39.565830, -99.647220)"
Denton County,6659,Valid,"Iron, IIIAB",5400,Found,1856,33,-97,"(33.000000, -97.000000)"
Denver City,6661,Valid,"Iron, ungrouped",26100,Found,1975,33.07139,-102.80028,"(33.071390, -102.800280)"
Deport,6662,Valid,"Iron, IAB-sLL",15000,Found,1926,33.51667,-95.3,"(33.516670, -95.300000)"
Deport (a),6663,Valid,H4,604,Found,1944,33.51667,-95.3,"(33.516670, -95.300000)"
Desert Willow,48655,Valid,H4/5,11.3,Found,2007,32.319,-111.077,"(32.319000, -111.077000)"
Devil Peak,6695,Valid,L6,34.7,Found,1999,35.65917,-115.37283,"(35.659170, -115.372830)"
Dexter,6697,Valid,"Iron, IIIAB",1724,Found,1889,33.81667,-97,"(33.816670, -97.000000)"
Diablo Pass,35516,Valid,L6,246.6,Found,2004,33.66348,-114.29207,"(33.663480, -114.292070)"
Diamond Valley,7641,Valid,H5,440,Found,2001,40.08173,-115.93673,"(40.081730, -115.936730)"
Dimmitt,7645,Valid,H3.7,200000,Found,1942,34.58333,-102.16667,"(34.583330, -102.166670)"
Dimmitt (b),7646,Valid,OC,2800,Found,1981,34.48333,-102.32833,"(34.483330, -102.328330)"
Dispatch,7648,Valid,H,220,Found,1956,39.5,-98.53333,"(39.500000, -98.533330)"
Dix,7651,Valid,L6,44000,Found,1927,41.23333,-103.48333,"(41.233330, -103.483330)"
Dora (pallasite),7712,Valid,"Pallasite, PMG",7600,Found,1955,33.92667,-103.955,"(33.926670, -103.955000)"
Dora (stone),7713,Valid,OC,1570,Found,1970,33.92333,-103.35,"(33.923330, -103.350000)"
Dos Cabezas,7721,Valid,L5,755,Found,1998,32.295,-109.67,"(32.295000, -109.670000)"
Dougherty,7724,Valid,L6,1113,Found,2002,33.97917,-101.2,"(33.979170, -101.200000)"
Doyleville,7727,Valid,H5,112,Found,1887,38.41667,-106.58333,"(38.416670, -106.583330)"
Drayton,7729,Valid,H4/5,2350,Found,1982,48.66667,-97.11667,"(48.666670, -97.116670)"
Dresden (Kansas),7730,Valid,H5,6760,Found,1953,39.61667,-100.46306,"(39.616670, -100.463060)"
Drum Mountains,7733,Valid,"Iron, IIIAB",529000,Found,1944,39.5,-112.9,"(39.500000, -112.900000)"
Dry Lake Valley,7734,Valid,L6,3.5,Found,2000,37.72683,-114.7865,"(37.726830, -114.786500)"
Duchesne,7737,Valid,"Iron, IVA",22700,Found,1906,40.38333,-110.86667,"(40.383330, -110.866670)"
Duel Hill (1854),7738,Valid,"Iron, IVA",21800,Found,1854,35.85,-82.7,"(35.850000, -82.700000)"
Duel Hill (1873),7739,Valid,"Iron, IAB-MG",11300,Found,1873,35.85,-82.7,"(35.850000, -82.700000)"
Dumas (a),7741,Valid,H5,46050,Found,1956,35.9,-101.9,"(35.900000, -101.900000)"
Dumas (b),7742,Valid,H6,2284,Found,1980,35.925,-101.895,"(35.925000, -101.895000)"
Dumont,47341,Valid,"Iron, IVB",27420,Found,1994,33.81667,-100.51667,"(33.816670, -100.516670)"
Duncanville,7744,Valid,H,17800,Found,1961,32.63333,-96.86667,"(32.633330, -96.866670)"
Dungannon,7747,Valid,"Iron, IAB-MG",13000,Found,1922,36.85,-82.45,"(36.850000, -82.450000)"
Dutch Flat,7753,Valid,"Iron, IIAB",48.8,Found,2002,34.48333,-113.91667,"(34.483330, -113.916670)"
Dwight,7756,Valid,L6,4100,Found,1940,38.85,-96.58333,"(38.850000, -96.583330)"
Eads,7759,Valid,H4,4860,Found,1975,38.47,-102.82667,"(38.470000, -102.826670)"
Eagle Station,7761,Valid,"Pallasite, PES",36000,Found,1880,38.61667,-84.96667,"(38.616670, -84.966670)"
Edmond,7767,Valid,H6,4000,Found,1983,39.76667,-99.91667,"(39.766670, -99.916670)"
Edmonson (a),7768,Valid,L6,12000,Found,1955,34.28333,-101.83333,"(34.283330, -101.833330)"
Edmonson (b),7769,Valid,H4,14402,Found,1981,34.28333,-101.83333,"(34.283330, -101.833330)"
Edmonton (Kentucky),7771,Valid,"Iron, IAB-sLM",10200,Found,1942,37.03333,-85.63333,"(37.033330, -85.633330)"
El Burro,7793,Valid,"Iron, IIAB",35900,Found,1939,29.33333,-101.83333,"(29.333330, -101.833330)"
El Capitan,7794,Valid,"Iron, IIIAB",27500,Found,1893,33.5,-105.5,"(33.500000, -105.500000)"
El Carmen,7795,Valid,H6,629,Found,1987,26.86667,-105.23333,"(26.866670, -105.233330)"
El Mirage,7809,Valid,"Iron, IIAB",598,Found,1972,33.68333,-112.26667,"(33.683330, -112.266670)"
El Mirage Dry Lake 001,7810,Valid,H5,1.5,Found,2000,34.65433,-117.59638,"(34.654330, -117.596380)"
El Mirage Dry Lake 002,7811,Valid,H4,13,Found,2001,34.64667,-117.58108,"(34.646670, -117.581080)"
El Mirage Dry Lake 003,53845,Valid,H6,6.9,Found,2010,34.63432,-117.56217,"(34.634320, -117.562170)"
El Mirage Dry Lake 004,54570,Valid,LL6,271,Found,2011,34.65783,-117.59892,"(34.657830, -117.598920)"
El Paso,7812,Valid,LL4,276,Found,1950,31.78333,-106.23333,"(31.783330, -106.233330)"
El Pozo,7814,Valid,L5,460,Found,1998,26.93333,-105.4,"(26.933330, -105.400000)"
El Rancho Grande,7816,Valid,Pallasite,40.7,Found,1954,37,-105,"(37.000000, -105.000000)"
Elba,7821,Valid,H5,4175,Found,1966,39.83333,-103.21667,"(39.833330, -103.216670)"
Elida (a),10014,Valid,L6,936.8,Found,1968,33.78333,-103.57667,"(33.783330, -103.576670)"
Elida (b),10015,Valid,OC,537.8,Found,1968,33.91667,-103.51833,"(33.916670, -103.518330)"
Elida (c),10016,Valid,H5,385.5,Found,1968,33.79,-103.56333,"(33.790000, -103.563330)"
Elizabeth,56566,Valid,"Iron, IAB-ung",732,Found,,42.318,-90.221,"(42.318000, -90.221000)"
Elkhart,10017,Valid,H5,573,Found,1936,37.01667,-101.88333,"(37.016670, -101.883330)"
Ellicott,10021,Valid,"Iron, IAB-ung",15700,Found,1960,38.80778,-104.56944,"(38.807780, -104.569440)"
Ellis County,10022,Valid,H6,4692,Found,1948,38.78333,-99.33333,"(38.783330, -99.333330)"
Elm Creek,10024,Valid,H4,7000,Found,1906,38.5,-96.2,"(38.500000, -96.200000)"
Elton,10029,Valid,"Iron, ungrouped",1900,Found,1936,33.71667,-100.83333,"(33.716670, -100.833330)"
Elyria,10030,Valid,"Iron, IIIAB",10900,Found,1971,38.28,-97.365,"(38.280000, -97.365000)"
Emery,10031,Valid,Mesosiderite-A3,16700,Found,1962,43.56333,-97.58333,"(43.563330, -97.583330)"
Emmitsburg,10034,Valid,"Iron, IIIAB?",450,Found,1854,39.71667,-77.3,"(39.716670, -77.300000)"
Enigma,10036,Valid,H4,94,Found,1967,31.33333,-82.31667,"(31.333330, -82.316670)"
Enon,10037,Valid,"Iron, ungrouped",763,Found,1883,39.86667,-83.95,"(39.866670, -83.950000)"
Erie,10045,Valid,L6,3300,Found,1965,40.03167,-105.05667,"(40.031670, -105.056670)"
Escal�_n,10050,Valid,H4,54.3,Found,1979,27,-104,"(27.000000, -104.000000)"
Essex,10056,Valid,H5,5000,Found,2002,34.61167,-115.03333,"(34.611670, -115.033330)"
Estacado,10057,Valid,H6,290000,Found,1883,33.9,-101.75,"(33.900000, -101.750000)"
Etter,10062,Valid,L5,450000,Found,1965,35.98333,-101.9,"(35.983330, -101.900000)"
Euclid,10063,Valid,H5,2500,Found,1970,47.95833,-96.7,"(47.958330, -96.700000)"
Eunice,10064,Valid,H5,2300,Found,1961,34.47,-101.75833,"(34.470000, -101.758330)"
Eustis,10065,Valid,H4,502,Found,1918,28.83333,-81.68333,"(28.833330, -81.683330)"
Eva,10066,Valid,H5,6700,Found,1965,36.81667,-101.90833,"(36.816670, -101.908330)"
Fairburn,56565,Valid,"Iron, IAB-ung",445,Found,1907,43.603,-103.026,"(43.603000, -103.026000)"
Fairfield,10069,Valid,"Iron, IAB-MG",1600,Found,1974,39.33333,-84.6,"(39.333330, -84.600000)"
Fairview,10070,Valid,"Iron, IIIAB",28800,Found,1986,34.10139,-102.65,"(34.101390, -102.650000)"
Faith,10071,Valid,H5,105000,Found,1952,45.33333,-102.08333,"(45.333330, -102.083330)"
Falsey Draw,10072,Valid,L6,4180,Found,1995,33.84333,-103.93667,"(33.843330, -103.936670)"
Farley,10073,Valid,H5,19400,Found,1936,36.33333,-104.05,"(36.333330, -104.050000)"
Farnum,10076,Valid,L5,4200,Found,1937,40.25,-100.23333,"(40.250000, -100.233330)"
Faucett,10077,Valid,H5,100000,Found,1966,39.61667,-94.86667,"(39.616670, -94.866670)"
Felt,10083,Valid,H6,5400,Found,1970,36.55,-102.78333,"(36.550000, -102.783330)"
Felt (b),10084,Valid,L3.5-5,5590,Found,1990,36.58333,-102.7,"(36.583330, -102.700000)"
Ferguson Switch,10089,Valid,H5,1700,Found,1937,34,-101.5,"(34.000000, -101.500000)"
Fife,30563,Valid,H5,8600,Found,2003,31.38972,-99.40583,"(31.389720, -99.405830)"
Finney,10104,Valid,L5,10700,Found,1962,34.26667,-101.56667,"(34.266670, -101.566670)"
Finney (c),10105,Valid,OC,492,Found,1978,34.29833,-101.68333,"(34.298330, -101.683330)"
Fish Canyon,10106,Valid,"Iron, IAB complex",27.3,Found,1992,31.735,-110.75333,"(31.735000, -110.753330)"
Fitzwater Pass,51738,Valid,"Iron, IIIF",65.4,Found,1974,42.03839,-120.58942,"(42.038390, -120.589420)"
Flagg,10108,Valid,L5,7000,Found,1954,34.43333,-102.51667,"(34.433330, -102.516670)"
Flagler,30564,Valid,H3.8,4100,Found,1972,39.23,-102.99,"(39.230000, -102.990000)"
Flandreau,10109,Valid,H5,21360,Found,1983,44.04833,-96.59167,"(44.048330, -96.591670)"
Fleming,10110,Valid,H3.7,1750,Found,1940,40.68333,-102.81667,"(40.683330, -102.816670)"
Florey,10112,Valid,H6,110800,Found,1978,32.5225,-102.705,"(32.522500, -102.705000)"
Floyd,10113,Valid,L4,13000,Found,1966,34.19333,-103.575,"(34.193330, -103.575000)"
Floydada,10114,Valid,"Iron, IIIAB",12500,Found,1912,33.98333,-101.28333,"(33.983330, -101.283330)"
Floydada (b),10115,Valid,H5,6266,Found,1999,33.98333,-101.33333,"(33.983330, -101.333330)"
Fluvanna (a),10116,Valid,L5,9500,Found,1967,32.8,-101.11667,"(32.800000, -101.116670)"
Fluvanna (b),10117,Valid,H6,4110,Found,1976,32.90333,-101.16278,"(32.903330, -101.162780)"
Forestburg (a),10121,Valid,L4,26100,Found,1957,33.50667,-97.65139,"(33.506670, -97.651390)"
Forestburg (b),10122,Valid,L5,26600,Found,1957,33.49556,-97.58861,"(33.495560, -97.588610)"
Forsyth County,10165,Valid,"Iron, IIAB",22700,Found,1891,36.1,-80.2,"(36.100000, -80.200000)"
Fort Pierre,10167,Valid,"Iron, IIIAB",15900,Found,1856,44.35,-100.38333,"(44.350000, -100.383330)"
Fort Stockton,10168,Valid,Iron,4762.8,Found,1952,30.91667,-103.06667,"(30.916670, -103.066670)"
Foster,10170,Valid,H4,1992,Found,1975,33.1,-102.26667,"(33.100000, -102.266670)"
Fountain Hills,30565,Valid,CBa,60,Found,2002,33.61,-111.72,"(33.610000, -111.720000)"
Four Corners,10172,Valid,"Iron, IAB-ung",25000,Found,1924,37,-109.05,"(37.000000, -109.050000)"
Franceville,10173,Valid,"Iron, IIIAB",18800,Found,1890,38.81667,-104.61667,"(38.816670, -104.616670)"
Franconia,10174,Valid,H5,100000,Found,2002,34.71637,-114.22197,"(34.716370, -114.221970)"
Frankel City,10175,Valid,L6,4700,Found,1977,32.33333,-102.745,"(32.333330, -102.745000)"
Frankfort (iron),10176,Valid,"Iron, IIIAB",10900,Found,1866,38.2,-84.83333,"(38.200000, -84.833330)"
Franklin,10178,Valid,H5,9062,Found,1921,36.71667,-86.56667,"(36.716670, -86.566670)"
Franklinville,10179,Valid,L6,108,Found,1888,38.5,-100,"(38.500000, -100.000000)"
Freda,10180,Valid,"Iron, IAB-sLH",268,Found,1919,46.38333,-101.23333,"(46.383330, -101.233330)"
Fremont Butte,10181,Valid,L4,6647,Found,1963,38.5,-105.5,"(38.500000, -105.500000)"
Friona,10184,Valid,L5,21900,Found,1981,34.54,-102.56833,"(34.540000, -102.568330)"
Fuzzy Creek,10841,Valid,"Iron, IVA",2700,Found,,31.61111,-99.90417,"(31.611110, -99.904170)"
Gahanna,10842,Valid,"Iron, IAB-MG",1201,Found,1950,40.01667,-82.86667,"(40.016670, -82.866670)"
Gail,10843,Valid,H4,4650,Found,1948,32.7,-101.6,"(32.700000, -101.600000)"
Gaines County Park,10844,Valid,H5,13700,Found,1977,32.83333,-102.73333,"(32.833330, -102.733330)"
Galatia,10847,Valid,L6,23900,Found,1971,38.64167,-98.88333,"(38.641670, -98.883330)"
Galleta Flat,52414,Valid,H4,392,Found,2009,32.00415,-110.37503,"(32.004150, -110.375030)"
Garnett,10862,Valid,H4,4788,Found,1938,38.26667,-95.25,"(38.266670, -95.250000)"
Garrison,10864,Valid,H5,5116,Found,1969,33.86333,-103.34667,"(33.863330, -103.346670)"
Gaylord,10868,Valid,H4,8480,Found,1983,39.61667,-98.7,"(39.616670, -98.700000)"
Georgetown,10904,Valid,H6,687,Found,1967,39.7,-105.7,"(39.700000, -105.700000)"
Gila Bend,30664,Valid,L5,3700,Found,2000,33.03333,-112.61667,"(33.033330, -112.616670)"
Gladstone (stone),10921,Valid,H4,57300,Found,1936,36.3,-104,"(36.300000, -104.000000)"
Glasgow,10927,Valid,"Iron, IIIAB",20400,Found,1922,37.01667,-85.91667,"(37.016670, -85.916670)"
Glasston,10928,Valid,L5,1990,Found,1969,48.71667,-97.3,"(48.716670, -97.300000)"
Glen Rose (iron),10932,Valid,"Iron, ungrouped",11000,Found,1934,32.25,-97.71667,"(32.250000, -97.716670)"
Glorieta Mountain,10935,Valid,"Pallasite, PMG-an",148000,Found,1884,35.6,-105.8,"(35.600000, -105.800000)"
Gold Basin,10940,Valid,L4,61000,Found,1995,35.875,-114.23333,"(35.875000, -114.233330)"
Golden Mile,10941,Valid,H4,378.8,Found,2000,35.89,-114.16667,"(35.890000, -114.166670)"
Golden Rule,10942,Valid,L5,797.6,Found,1999,35.87333,-114.2,"(35.873330, -114.200000)"
Goldstone Dry Lake,10943,Valid,H6,1.1,Found,1999,35.37333,-116.90833,"(35.373330, -116.908330)"
Gomez,10944,Valid,L6,47000,Found,1974,33.18139,-102.40139,"(33.181390, -102.401390)"
Goodland,10945,Valid,L4,3628,Found,1923,39.35,-101.66667,"(39.350000, -101.666670)"
Goose Creek,10946,Valid,H5,2132.3,Found,1999,37.435,-98.31833,"(37.435000, -98.318330)"
Goose Lake,10947,Valid,"Iron, IAB-sLL",1169500,Found,1938,41.98,-120.54167,"(41.980000, -120.541670)"
Grady (1933),10951,Valid,L3-6,4230,Found,1933,34.8,-103.31667,"(34.800000, -103.316670)"
Grady (1937),10952,Valid,H3.7,9300,Found,1937,34.8,-103.31667,"(34.800000, -103.316670)"
Grady (c),10953,Valid,H4,5700,Found,1970,34.8,-103.31667,"(34.800000, -103.316670)"
Granada Creek,10954,Valid,H,479,Found,1975,37.96667,-102.33333,"(37.966670, -102.333330)"
Grand Rapids,10955,Valid,"Iron, ungrouped",51700,Found,1883,42.96667,-85.76667,"(42.966670, -85.766670)"
Grandview,47730,Valid,L5,6400,Found,2008,32.788333,-101.938333,"(32.788333, -101.938333)"
Grant,10957,Valid,"Iron, IIIAB",525000,Found,1929,35.16667,-107.88333,"(35.166670, -107.883330)"
Grant County,10958,Valid,L6,2300,Found,1936,37.46667,-101.43333,"(37.466670, -101.433330)"
Grassland,10959,Valid,L4,4400,Found,1964,33.11667,-101.58333,"(33.116670, -101.583330)"
Grayton,11177,Valid,H5,11300,Found,1983,30.31167,-86.16667,"(30.311670, -86.166670)"
Great Bend,11180,Valid,H6,28770,Found,1983,38.395,-98.91583,"(38.395000, -98.915830)"
Greaterville,11193,Valid,L4,48,Found,1995,31.76167,-110.75,"(31.761670, -110.750000)"
Greenbrier County,11194,Valid,"Iron, IIIAB",5000,Found,1880,37.83333,-80.31667,"(37.833330, -80.316670)"
Greener Reservoir,30666,Valid,H4,45,Found,2004,39.49133,-112.942,"(39.491330, -112.942000)"
Greenwell Springs,11195,Valid,LL4,664,Found,1987,30.51528,-91.01222,"(30.515280, -91.012220)"
Gretna,11201,Valid,L5,82000,Found,1912,39.93333,-99.21667,"(39.933330, -99.216670)"
Grier (a),11202,Valid,OC,12.4,Found,1969,34.38167,-103.39167,"(34.381670, -103.391670)"
Grier (b),11203,Valid,L5-7,929.4,Found,1969,34.26667,-103.38333,"(34.266670, -103.383330)"
Griffith,11204,Valid,"Iron, ungrouped",6000,Found,1985,33.71667,-102.81667,"(33.716670, -102.816670)"
Griffith Wash,55289,Valid,L6,93,Found,2011,35.06639,-114.0975,"(35.066390, -114.097500)"
Gruver,11428,Valid,H4,13100,Found,1934,36.33333,-101.4,"(36.333330, -101.400000)"
Guadaloupe County,11430,Valid,Iron,20.5,Found,1950,29.5,-98,"(29.500000, -98.000000)"
Guadalupe y Calvo,11431,Valid,"Iron, IIAB",58630,Found,1971,26.1,-106.96667,"(26.100000, -106.966670)"
Guffey,11441,Valid,"Iron, ungrouped",309000,Found,1907,38.76667,-105.51667,"(38.766670, -105.516670)"
Guilford County,11444,Valid,"Iron, IIIAB",1100,Found,1822,35.56667,-79.83333,"(35.566670, -79.833330)"
Guin,11445,Valid,"Iron, ungrouped",34500,Found,1969,33.96667,-87.91667,"(33.966670, -87.916670)"
Gun Creek,11451,Valid,"Iron, ungrouped",22700,Found,1909,34,-111,"(34.000000, -111.000000)"
