urban_area,country,pop_rank,population,major_4_cnt,major_6_cnt,NFL,MLB,NBA,NHL,MLS,CFL,ua_lat,ua_lon
Vancouver,Canada,21,"2,310,000",1,3,„,„,[note 59],Canucks,Whitecaps FC,Lions,49.2608724,-123.1139529
Orlando,United States,25,"2,125,000",1,2,„,„,Magic,„,Orlando City SC,„,28.5423999,-81.3794368
Portland,United States,27,"2,000,000",1,2,„,„,Trail Blazers,„,Timbers,„,45.5202471,-122.6741949
Columbus,United States,36,"1,505,000",1,2,„,„,„,Blue Jackets,Crew SC,„,39.9622601,-83.0007065
Calgary,Canada,39,"1,215,000",1,2,„,„,„,Flames,„,Stampeders,51.02532675,-114.049868486
Salt Lake City,United States,45,"1,100,000",1,2,„,„,Jazz,„,Real Salt Lake,„,40.7670126,-111.8904308
Edmonton,Canada,46,"1,060,000",1,2,„,„,„,Oilers,„,Eskimos,53.535411,-113.507996
Ottawa,Canada,49,"1,010,000",1,2,„,„,„,Senators,„,Redblacks[note 60],45.421106,-75.690308
Winnipeg,Canada,67,"705,000",1,2,„,„,„,Jets[note 61],„,Blue Bombers,49.884017,-97.168579
San Diego,United States,17,"3,110,000",1,1,[note 62],Padres,[note 63],„,„,„,32.7174209,-117.1627714
Las Vegas,United States,23,"2,255,000",1,1,[note 6],„,„,Golden Knights,„,[note 64],36.1662859,-115.149225
San Antonio,United States,26,"2,025,000",1,1,[note 65],„,Spurs,„,„,[note 66],29.4246002,-98.4951405
Sacramento,United States,28,"1,920,000",1,1,„,„,Kings,„,„,[note 67],38.5815719,-121.4943996
Jacksonville,United States,41,"1,170,000",1,1,Jaguars,„,„,„,„,„,30.3321838,-81.655651
Memphis,United States,43,"1,110,000",1,1,[note 68],„,Grizzlies,„,„,[note 69],35.1490215,-90.0516285
Raleigh,United States,42,"1,130,000",1,1,„,„,„,Hurricanes,„,„,35.7803977,-78.6390989
Oklahoma City,United States,51,"930,000",1,1,„,„,Thunder[note 70],„,„,„,35.4729886,-97.5170536
"Hamilton, Ontario",Canada,„,"747,545",0,1,„,„,„,„,„,Tiger-Cats,43.255205,-79.868202
Green Bay,United States,„,"205,000",1,1,Packers,„,„,„,„,„,44.5126379,-88.0125794
Regina,Canada,„,"195,000",0,1,„,„,„,„,„,Roughriders,50.44876,-104.61731
